GISJOIN,total,white,black,amin,asian,nhpi,other,tworaces,nohisp,hisp,over25,highschool,ged,collegelt1,collegegt1,assocdeg,bachdeg,mastersdeg,profdeg,doctoraldeg,povlthalf,povbtnhalfone,povover2,over16,inlabforce,notinlabforce
G06043,727621,262562,164629,4614,94162,3535,163536,34583,385192,342429,481801,98060,9654,23924,81822,34915,88037,28810,6370,4109,51239,75699,433061,57130,571895,198375
G06044,723072,321309,111573,6292,40788,5067,215211,22832,211836,511236,441536,103418,10084,20929,65649,27181,41230,12399,1885,1114,55542,91705,373200,52173,545119,202556
G06045,772341,481917,14168,2431,189224,1269,45370,37962,626789,145552,529751,58273,6739,25653,71578,43689,176428,77366,21770,14408,42458,26674,623027,102575,624723,216901
G06046,728906,417774,13422,4045,95533,2111,178053,17968,246806,482100,458923,97019,11171,23634,65421,27548,65262,15472,3923,2283,45272,77240,408016,63750,563860,186355
G06047,714812,386919,52271,5602,162881,4044,71198,31897,465308,249504,487612,83649,9253,26261,85022,39082,102463,37987,9687,5822,48318,60236,464191,67451,577533,203661
G06048,726516,483437,9278,3215,134261,2509,61843,31973,569744,156772,525981,70233,8884,29306,83113,42124,150583,58821,18781,9314,30885,40264,555877,91464,601137,208187
G06049,737614,585555,18797,3097,52157,2668,42320,33020,544255,193359,492708,70381,7710,27455,77578,42840,135226,55677,17733,12072,32185,30089,553594,87919,586189,197902
G06050,747793,576653,20879,9095,41479,3321,55093,41273,506005,241788,498256,101203,14222,35295,94974,44790,93948,35363,8405,5166,39592,46636,523835,74605,588112,212973
G06051,729654,472178,49913,5563,59855,2848,110742,28555,214847,514807,455048,98651,16573,26894,77578,31683,48561,13324,3058,1712,56708,93883,363211,47569,562936,222968
G06052,765158,519928,23897,2799,151916,2904,21580,42134,653722,111436,536139,54173,6453,22758,72825,40660,176966,86453,26436,23422,39601,28131,598963,94302,632672,206529
G06053,769137,497701,63546,3423,105497,4082,46867,48021,509366,259771,528645,82453,11466,33343,97823,45289,128856,49334,12989,8231,47107,47536,545655,73421,627021,204847
G08001,818722,642967,66959,7287,29114,1122,43233,28040,592877,225845,585925,81450,20020,25842,77296,33773,171916,73342,22840,10771,50449,53832,567989,65874,667745,189820
G08002,796438,721196,7609,4253,25805,750,13116,23709,711597,84841,536718,69703,13365,27874,71465,40955,172355,84409,17211,19939,44256,37605,596542,78311,659908,204484
G08003,739107,655512,7194,17651,5954,821,34178,17797,557104,182003,512442,112393,23978,35969,88057,44314,105036,37576,9653,5825,44621,60852,476743,53778,596120,223983
G08004,799390,720475,11178,5755,16862,645,20854,23621,623556,175834,526004,101099,23979,37542,84297,49105,121111,47148,8435,6029,32740,39367,593885,74481,617792,200158
G08005,786912,638504,45798,5450,20076,2732,31257,43095,661183,125729,518524,90500,24124,38327,88014,56669,113724,57926,9041,6807,35256,47868,544221,63890,621743,216406
